"","BE","SS","HH","HRLM","ICT","TT","IO","PC","ATI","GPI","TSI","NR","CR","NLR","ES","SI","DS"
"SGP",6.14955688411852,6.8159603171858,5.14041951841448,5.35733587257865,6.41052248007362,5.71097171737724,5.70060561256014,2.66954502346686,5.93551440636082,6.53931432722164,4.40727821856081,1.56912990111951,1.75183919367349,3.79655512780198,4.3730421375026,4.37986743313213,4.13517996055102
"ISL",5.29538242771694,6.58839793700298,5.74580151261867,5.4647161390388,6.39297105126542,5.68479014978862,4.66614938213618,1.43812739514391,4.68238042815097,3.04090185714286,6.1022250241941,3.21256385825951,1.55965970959373,1.32938693566539,5.22923651245047,4.46700294987549,2.57637971882077
"SLV",3.49312855486878,4.95880833581215,4.46517339341709,3.44366572579459,4.26314234456593,4.563081414236,3.19702305291809,4.72345498040179,2.94716670393312,2.85543723240382,1.73562112656272,1.69866281645293,1.17370595714188,1.50481516007981,4.28278174967991,4.36604010160069,4.6965728027742
"LKA",3.33660097877991,5.20705397380615,4.65705359188219,3.42295653737175,4.42885450021292,4.77917158977252,3.69353138473273,5.69228132850045,3.07479095348863,3.91878478947991,1.57832321917437,2.69830554272655,1.44393512851859,1.60766593796896,3.70432065153568,5.84373428186343,3.69761285825442
"TZA",3.64457544119699,5.54619615182913,1.89979442846701,3.81341350682757,3.65570516146995,5.29679969414934,4.22018498053403,4.80032857625109,2.94309880958264,3.29330485234287,1.41041699260109,4.7685244676085,1.60672650015739,1.55862910979844,4.17073316250854,5.39548457398028,4.01646982500701
"ISR",5.17857826478372,5.04453166682811,5.68719535165258,5.00196654717613,6.17324129156005,4.52479814973235,4.24822831229106,1.4215624220167,4.55002309359118,4.38586130888366,4.11524522877321,1.89635022184043,1.75530292640042,3.45157077670089,4.21660420254967,4.49218646300412,3.57431096796506
"MKD",3.92582484270321,5.97959223829993,5.51382737746473,3.67438518223561,4.87989980710792,3.42990819117291,3.67877466444552,5.41257424794067,2.55684654832409,2.71883974179333,2.5609228845523,1.83542406596689,1.53284928378349,1.26284365094485,4.00442610102797,4.03870468493867,3.02715551886858
"PRY",3.8895792401995,5.049658201843,4.62628079886477,3.59541496099618,4.20731272677235,5.11520076958249,3.0867170592082,5.62622352080956,2.1134783940994,2.03573429900732,1.43107977264104,2.16904416463936,1.44404692880195,1.39610943635763,3.98422911045799,6.06642000934341,3.10980154491465
"URY",5.02042595751807,5.35980656189644,5.86064710730102,4.3856906514425,5.66632806750515,4.56328195109873,3.20184935208745,3.91475288328117,2.65913289088933,3.31141769959655,3.97011920838403,1.66875297430412,1.71248614280239,2.10795377697175,4.85012214144563,3.704026266272,2.51469135944056
"JAM",3.85882317398507,4.345,3.86479483739746,4.12770224552831,4.20591619204274,6.16569266089182,3.85563835403062,2.82940863095314,3.58232071426499,3.76223787826087,2.63580236138292,1.82730870052355,1.47720247313345,1.18433081607929,3.97985683576258,5.09146336891259,4.22888460339933
"BGD",3.25283758726588,5.66531926830389,3.58367890293149,3.13129973903167,4.01552236829276,3.22605945614377,2.11652033133574,5.24627676698311,3.08200744013153,3.94758090494969,1.36568009908067,2.13836992944508,1.6335452306495,2.08895785101911,3.59599292007677,3.42356559911686,2.71075243270396
"MLI",3.09307171408614,2.95416,2.26987420162527,3.42861843031565,3.20881432903828,2.41247965575357,1.98295562806624,4.93085202775882,2.36665417272635,2.4116832588566,1.25947027695196,2.38947154514236,1.61111638446601,1.02517513761604,3.75976261980274,3.89424541239564,4.21157149612648
"SEN",3.53625771936177,5.51065476500441,2.94667107609533,3.22693978976393,4.40812592968224,2.47434629188203,3.32829705346347,4.24857413243127,2.73364469169382,2.92052452094612,1.36631760672923,2.59061808079388,1.57712165068467,1.38715626523261,3.80166071016039,4.67663083055531,4.41763197217721
"PAN",4.26018228904643,5.23440013678774,4.26498930080537,3.76697088235394,4.70507985742026,4.53247970948439,3.31916158444686,4.85047621402869,4.3315161653268,3.5327977426385,3.00064926201095,3.88156864039397,1.61581122723269,1.63291752926958,4.76902550737671,4.74049796607867,3.8873610260545
"KHM",3.62111512444513,6.136,3.18647970245059,3.636904643554,4.28065753647518,5.73709635726174,3.74921373467791,5.5766447366609,2.76253642153354,2.85254924507681,1.96594247552067,2.49611966578559,1.60239921235367,1.41424573202104,3.99082481387277,3.03318712212122,4.64986106323333
"LUX",6.10533794044548,6.5364566483929,5.76291274507351,5.26600795910141,6.39431626878985,4.65751067246632,4.65587268384752,3.20125504264274,3.73130935927268,5.78567361320755,4.18758518459506,1.30086802208546,1.34149016943771,3.27341283822231,6.16570423833183,2.90447689487971,3.45981728463576
"OMN",4.84428717793388,6.35119827379072,4.39091598721903,3.90199838406085,5.49717301358224,3.39441745408569,4.11615905728476,5.10652015579185,3.9067873682204,3.7240530924657,2.64116333776132,2.09730970682381,1.99349849356094,1.9992150499577,3.59460602731382,3.50370492270657,4.64777109863637
"HRV",4.27154653440203,6.24748876977135,6.00821198681718,4.17276850336997,5.66693974109809,4.83547007267094,4.69832924829226,2.95982401320722,3.68276740820979,3.85176209879997,5.16683957679569,3.53975544961146,2.24516434762089,1.66600678501649,5.22252804013134,3.44439665434775,2.60603566561744
"IRL",5.59277946679069,6.10743244336438,5.68067097974551,5.32384489713033,5.90707950114994,3.77949313636902,4.67150008104267,2.78076479825604,4.98187882674278,4.32805779902544,4.55470810282275,1.9840609342784,2.48359868591385,4.18130697151035,4.93591128312842,3.86352389125262,4.3394685531012
"NIC",3.13416094725473,5.31474273560916,3.39586144186624,3.2617711275564,3.37162500789051,4.35726796544949,3.03431340904903,5.17127543195835,2.23287925102319,2.55447006902799,1.40913092640235,2.67631856084094,1.23725328104426,1.3703702431491,4.29736917511667,4.18459125916469,4.03793392225398
"BGR",4.53479077903827,5.7338808055049,6.42761511870751,4.58899318402762,5.70416422282695,4.51984127259604,4.72922831771403,5.21997360172539,3.52946504741416,3.54356007193223,3.37873368109031,2.82277601658134,2.1010123931456,1.83944269530087,5.43893754580032,4.79651293285123,3.27143439970574
"MWI",3.21022747063337,5.5328,2.19832252229638,3.8776684017067,3.05925697716991,2.56050836134563,3.10784180327577,4.59720607534693,1.83771878308259,2.53958351420737,1.23049089825368,2.5083481061417,1.43213360363985,1.16908898781369,3.65864117703184,4.96776471948815,4.57253596426682
"MLT",5.11751818127525,6.231295671998,6.41167378615098,4.64890323877678,6.09258841182833,5.53628413206995,4.71790681532953,3.77017803528135,4.42626422354758,4.04810268455989,4.87483523993968,1.68438637454897,1.57644078608484,1.94382303141527,4.10641163991923,4.03132102998724,3.86751714614988
"NPL",2.91387031066313,5.39104701989869,3.52016892125458,3.27240273077676,3.24130635171571,4.56910850434747,3.74068143593,5.77434972252797,2.70142218355673,2.23815585845265,1.34884216229488,2.61274963743764,1.18189149139407,1.28264293828433,3.82195051130628,4.82931042203873,4.34593346789387
"CMR",3.19701111541824,3.49787345397859,2.04533656624713,3.70271401103533,2.89738154828805,2.51362365526448,1.72584706595727,5.1311904875404,2.21932927397374,2.74891800292055,1.28165304202335,3.37000421051015,1.36896603055517,1.42903998202561,3.82621255292062,4.77263167691973,5.09760162067232
"BOL",2.86907589014074,5.07476208231618,3.76940862934707,3.76688004867493,4.50046357319438,3.76526900300237,3.47708050313235,6.08593048244068,2.30674333827875,2.37607355979247,1.46736882762967,3.64678249376391,2.23567896711261,1.55223808516695,3.89286992015546,4.63839276522032,3.24941822440198
"CAN",5.7565982524352,5.96938962105424,5.19673087674172,5.36543711556186,6.04526677712095,4.55041738875894,4.0009777080067,3.18888552890701,5.36673498116168,3.74059180452344,4.08328246449298,5.60051753438132,2.8895656787405,6.37760020622655,5.25064248611059,4.48463302569296,3.81844470466859
"AGO",2.74476559766283,5.34158017657413,2.187750724171,3.2346774839456,3.17903486020654,2.39335357266667,2.58432769486373,5.40741209523017,2.25406004106079,1.98290115391467,1.84606101117862,3.10087304533751,1.19160695680154,1.24964772529014,3.8026563926349,5.44520491871059,3.98896662864147
"HND",3.12604258694456,4.27615978033328,3.59729221128395,3.12235707462565,3.27810058435081,4.73112958204146,2.80657660874281,4.53338110634443,2.51447412751565,2.43347243483046,1.57344425649394,2.80579717617665,1.24597498297713,1.41919029960949,4.19181656708159,4.50037235094839,4.0186549253798
"LAO",3.54282927484852,5.8952,3.50298368601766,3.67909079325589,3.51385407602718,4.31121967610859,3.77850377517044,5.62249966197372,2.35941407541306,2.9409107815642,1.77228129497315,2.36202710856158,1.27228196608054,1.10600693875635,3.76509434042645,5.4213738242362,4.36582699159844
"CIV",3.57879026511773,4.78508865355129,1.67366125091737,3.72148689443479,4.17164312643542,2.30889029733402,2.89068673846034,4.9265336752315,2.53512850849046,3.26231725972301,1.25759416921213,3.14178718048952,1.35929579776986,1.25915173390601,4.14912712798262,3.81375691803324,4.38750312762017
"ZWE",2.76813982491584,5.36891423241078,2.51724283282224,4.07596298473647,3.6635265120931,2.78372458719576,3.70398485705497,4.37154179401836,2.20298337763828,2.37746284063672,1.31143103608321,2.95387603324921,1.34390674062896,1.44920205771726,4.31407896095682,4.81153877564774,4.18396607525128
"MNG",3.36513496754778,5.25386692534536,5.69856288225577,4.12135932718081,5.13849353416139,4.64932213778631,2.82455994389645,5.47370128897029,2.14244155309847,2.0891424887721,2.54904472401678,3.24812536247448,1.92875663140012,1.30860107340434,3.73956222274845,4.40461315721215,2.83562199184608
"GTM",3.98028487215454,4.96617729992461,3.59897888065655,3.23026934621853,3.78126840034987,4.19191940766168,3.82475328265022,4.95640544470162,2.50371233435754,2.2925738476562,1.79259396320377,2.77693965245319,1.43969400312165,1.56080644472792,3.85390864107477,5.27924747564514,4.05322256085269
"GHA",3.62382787116184,5.72434448213847,2.16478064151565,4.07688550619852,4.50622542852557,3.52685968893624,2.21398950907535,4.86075820978737,2.58496200502668,2.877714195091,1.74111003703159,2.33382661505746,1.23692749848961,1.56423553741886,3.9896185339882,4.21662582529152,4.58216605501879
"CHL",4.74391923418567,4.51543845300597,5.19616412440999,4.31817221976453,5.77215014843114,5.32802016213383,4.71071024239565,4.6948291036224,3.54006129495487,3.45808842692203,3.74926826022986,3.20001971709476,2.18811976457937,3.26957794106078,5.12012731345387,5.42570651745438,4.36355996751674
"CHN",4.73413478567268,6.51615918547375,5.27394218797819,4.50606684872433,6.09618735734644,3.83586411220568,3.89139925057578,5.16753055706176,5.26464528602714,4.57161633248374,1.95008610113996,6.19526049478662,6.58615210889291,5.78975275814743,4.46273058125057,5.357731000915,3.79288650004028
"ARG",2.77107496533871,5.01509285775181,5.97197699482967,4.05698253874583,5.05118255062428,4.77090511461288,4.16146265665187,4.90015596287463,3.20965657427586,2.83059992188095,3.09992630400984,4.52229022577714,3.29143167533756,2.66475214380857,4.52661948910561,4.87050913160326,3.99749174069716
"ZAF",3.87893373399018,3.97498766437364,3.55333252912744,3.97773716076747,5.15560510164356,4.37973864415793,4.35099492446331,5.16731645518734,3.68781764198118,3.32703115310309,2.40720022624508,4.85570698552623,2.67183979265607,4.19003049176381,3.90630258514882,4.68842944910379,3.71328760602989
"GEO",4.93825154115695,6.16831994739592,5.48738365023599,4.85244609395286,5.50581958610341,4.68416269457472,4.50474827382625,5.46531609928741,3.350025422505,3.91636340383066,3.52618851684066,2.05243702390299,1.80902186307801,1.55779516090105,4.49890219739772,4.03300647727933,3.9940042207699
"VEN",1.98277859684012,3.70581217874714,3.93667909777341,3.70148530444924,3.73323363835177,4.08289548643734,2.84577100703903,5.86754487882585,2.26292887417608,2.08492161721512,1.45808624822074,4.51966104484393,1.96741932579347,2.04772434431038,3.94314173430404,4.89586794594432,3.79538536477304
"VNM",4.06048628836298,6.19376,4.2993122671663,4.35096782427477,5.18081399961326,3.63381462165331,3.61488688554343,5.68249152103814,4.03598598220217,3.65320558606102,2.20200832006927,3.78342441588155,2.8028945125459,3.08642738359176,3.88684108827914,2.85347107341694,3.96287299738967
"GBR",5.62355256948242,5.5686974435827,5.43026741714476,4.96503099324091,6.15645360983094,4.16540340204438,4.95783424722724,2.74221023432405,5.85474004553244,5.12738284467483,4.06846471218241,3.96451412793051,5.82904323836399,6.22280180543395,5.74053071142567,4.14936271170676,3.7834814402374
"BRA",3.39113160117678,4.3246910834943,4.43086287949639,3.95294063298577,5.02706497654053,4.16211308730197,4.69258785298186,5.32008970202988,3.88423790200602,2.72672064071469,2.44934949315261,6.19067230561192,5.4368686662315,4.37477827086129,4.98359445610739,5.42128279638234,4.20856169262787
"CRI",4.22880454668702,5.35865160594083,4.58959835464654,4.36117546460468,5.18309048768102,5.67906417911251,4.08335256822881,3.67302056270041,3.48314325758324,3.13097333719646,3.48323425095185,4.16858744216955,1.46389421982305,1.87498493500928,5.27722312593904,4.27038217684903,5.05592316188795
"FRA",5.34858471901105,5.77806136604878,6.19860540264318,5.02359969760476,6.21623348631914,4.92839255623726,4.74858005399896,3.18482416139999,5.48613517421062,5.31137976775992,5.03206680643329,5.40933153989346,6.24839128457902,5.06718205271539,5.89064280524995,3.15107172728533,3.21665161683685
"SWE",5.84787652040318,6.13997706207557,5.90111366716601,5.43795717991161,6.27115544272095,4.54362112258469,4.87702711074426,3.38194951552211,4.21426856063587,4.6304950292627,4.17653606447877,2.87410960887964,2.33935734210291,4.20496429644385,5.89468678029944,3.92094610979875,3.09848265314313
"SVN",4.79280433123804,6.50301413672063,5.73861541245811,4.79928717435423,5.83706771232033,5.6749142064759,4.94237912394074,4.22912710015621,2.26428331748298,4.71737022707201,4.86908987169011,2.52554147796255,1.61550461638192,1.53253070775239,6.00324463485516,3.64658716827148,2.05330306921836
"DZA",3.23810264553736,5.57678411547145,4.35047343711551,3.0328343011349,4.40708684877601,3.69217887014805,2.49409906911973,6.02824603689882,2.66006638123668,2.80142414589823,2.61390246641045,2.47421441259864,2.20023312077982,1.9364233261721,3.4174221929516,4.47447058167614,2.82255809767374
"KAZ",3.92784420263672,5.68728152355708,5.97752629669503,4.46007783094291,5.41804837883833,4.30528398834886,3.15419335184328,6.13579840909774,3.19315295360544,2.8249723936412,3.13963284979044,3.63721328605603,2.07300177600818,2.22255990343947,3.95424249182458,5.49698132812635,3.55296738610849
"BEL",5.52872813780203,5.87327866387198,6.61737477066657,5.09296337798064,6.12414033925955,4.03171377961993,5.23054566910121,3.17195355919815,4.35470818383266,5.36250467647672,3.1194507679208,1.91377587302986,3.15937351845444,3.14157826952486,5.41579501436494,3.99281120093335,3.50401189265963
"AUS",5.61968078300069,5.97013665935965,5.97543763627908,5.2258495639711,6.19444030049201,4.89968827335205,4.8477847022732,2.74747293742645,5.22724544540397,3.67576440321336,4.62361345838145,6.42240868587918,3.77501506219728,5.08972511555273,5.17840169958898,5.00062846890948,4.45696185078502
"BRB",3.6367827242606,5.28729035648499,5.48751936182376,4.02106521551204,4.87948265752524,5.52079718909396,4.60760689985596,1.31874166004184,4.06718715632341,3.854286,4.69771704816914,1.25534988788459,1.09824160646449,1.06969519106065,3.94483539570476,3.81113188562548,4.46800185871691
"USA",5.7110004583771,5.35680326619327,5.55504150714905,5.15892502527876,6.32235659225214,4.93926818766274,4.77762397428648,2.59087281142073,6.14792296936495,4.41944027177612,5.46128653639187,6.2346382140477,5.05523505347963,6.62816337730265,4.93649996133466,5.0258045804484,4.82601908822475
"SLE",2.66251423414254,5.5637880089846,1.4594283282081,2.99438977656646,2.34213966976963,3.74849506407538,3.07211409446383,5.2901120496689,1.69240186409435,2.20634846630917,1.30919519568404,1.93043622007595,1.0076107482327,1.03861474764081,3.24491285716928,4.98315963996303,4.5802954421239
"RWA",4.33114200776789,6.35133476544003,2.90550780875899,3.73731381264143,3.83553353109122,4.12370985908635,4.24041136546624,4.63416090690731,2.39920564815587,3.21959346513772,1.40529185730519,1.6799466297313,1.09478641534343,1.11745098564613,4.09534789650345,4.72519325666846,4.82822664221636
"JPN",5.38068297081082,5.9830916423234,6.23081308192902,4.90354361847641,6.02969709933993,4.78261971276462,4.06108725936787,4.34020211218163,5.33884920787407,6.07924824835144,2.93038301310003,5.10598762902123,6.70551591613056,5.93041076248922,5.1977372502061,4.57486499596702,3.02111937661924
"ARM",3.94620688001159,5.61725482712522,5.81668126278273,4.43556342934771,5.04109760250557,4.76514521519813,3.33089270349143,5.58348080026427,3.04631119883603,2.81116485748291,2.31230437107872,1.48406155041812,1.50065929130465,1.38639856634671,3.90206390702134,3.81365572475531,4.65032892155582
"CHE",6.06260406410919,6.43107056235375,6.29739333333333,5.58517949202202,6.36005696894429,5.44076806631552,4.66679381024406,1.68424240610802,5.54361659777124,6.24175202961379,4.55322585645155,3.12162181449836,2.16839503985672,4.38702419925408,5.84195691944483,4.21861157878008,3.18077253261882
